Feature Name,Alpha = 75.000000,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
KitchenQual_Ex,19487.6740903994,19817.731881495874,19755.207863303778,21359.778667032537
KitchenQual_Fa,-168.00951313660096,-109.94335028364615,-0.0,-0.0
KitchenQual_Gd,1363.5290292753734,1426.9330526689214,0.0,0.0
KitchenQual_TA,-251.87178365435324,-462.41407060174635,-2890.3810243798944,-3770.9666224987477
Functional_Maj1,-3357.737651958147,-733.4292496384029,-0.0,-0.0
Functional_Maj2,-0.0,-0.0,-0.0,-0.0
Functional_Min1,0.0,0.0,0.0,0.0
Functional_Min2,-0.0,-0.0,-0.0,-0.0
Functional_Mod,0.0,0.0,-0.0,-0.0
Functional_Sev,-0.0,-0.0,-0.0,-0.0
Functional_Typ,13791.665811822868,14369.740928698122,14841.306112378346,14533.482762457523
GarageType_2Types,-5074.696486930009,-0.0,-0.0,-0.0
GarageType_Attchd,0.0,0.0,0.0,0.0
GarageType_Basment,-463.03262086044657,-0.0,-0.0,-0.0
GarageType_BuiltIn,1432.8202171498963,1445.7988747446805,329.8563623439378,0.0
GarageType_CarPort,-0.0,-0.0,-0.0,-0.0
GarageType_Detchd,0.0,0.0,-0.0,-0.0
GarageType_None,0.0,0.0,0.0,-0.0
FireplaceQu_Ex,-0.0,-0.0,-0.0,0.0
FireplaceQu_Fa,-0.0,-0.0,-0.0,-0.0
FireplaceQu_Gd,669.5568315134929,0.0,0.0,6.39916215003288
FireplaceQu_None,-185.40528257186904,-493.1162102068432,-1085.330703501204,-1829.6768979762787
FireplaceQu_Po,-0.0,-0.0,-0.0,-0.0
FireplaceQu_TA,1308.7758781919576,393.11182373048973,0.0,0.0
GarageFinish_Fin,1096.2008598820516,1513.6561186052313,1655.5056268153073,1652.9293557281833
GarageFinish_None,0.0,0.0,0.0,-0.0
GarageFinish_RFn,-415.57199184987314,-1.2132494855068956,-0.0,-0.0
GarageFinish_Unf,-0.0,-0.0,-0.0,-0.0
GarageQual_Fa,-3651.7760439845006,-3445.5781414074345,-1384.908092688779,-0.0
GarageQual_Gd,0.0,0.0,0.0,0.0
GarageQual_None,0.0,0.0,0.0,-0.0
GarageQual_Po,-0.0,-0.0,-0.0,-0.0
GarageQual_TA,-0.0,-0.0,0.0,0.0
GarageCond_Ex,0.0,0.0,0.0,0.0
GarageCond_Fa,-1749.270201161336,-767.7936715652411,-0.0,-0.0
GarageCond_Gd,-0.0,-0.0,-0.0,-0.0
GarageCond_None,0.0,0.0,0.0,-0.0
GarageCond_Po,-0.0,-0.0,-0.0,-0.0
GarageCond_TA,1573.4079369458304,2090.4398556771844,1876.2159445264017,960.5540461722655
PavedDrive_N,-0.0,-0.0,-0.0,-0.0
PavedDrive_P,-1363.4254251834354,-0.0,-0.0,-0.0
PavedDrive_Y,562.1803576633823,736.9877911491496,690.9780618746505,521.9723829232257
PoolQC_Ex,0.0,0.0,0.0,0.0
PoolQC_Gd,0.0,0.0,0.0,0.0
PoolQC_None,0.0,0.0,-0.0,-0.0
Fence_GdPrv,-0.0,-0.0,-0.0,-0.0
Fence_GdWo,0.0,0.0,0.0,-0.0
Fence_MnPrv,255.91829773968678,32.212524851437585,0.0,0.0
Fence_MnWw,-0.0,-0.0,-0.0,-0.0
Fence_None,0.0,-0.0,-0.0,-0.0
MiscFeature_Gar2,-0.0,-0.0,-0.0,-0.0
MiscFeature_None,0.0,0.0,0.0,0.0
MiscFeature_Othr,0.0,0.0,0.0,0.0
MiscFeature_Shed,0.0,-0.0,-0.0,-0.0
SaleType_COD,-0.0,-0.0,-0.0,-0.0
SaleType_CWD,0.0,0.0,0.0,0.0
SaleType_Con,0.0,0.0,0.0,0.0
SaleType_ConLD,0.0,0.0,-0.0,-0.0
SaleType_ConLI,-0.0,-0.0,-0.0,-0.0
SaleType_ConLw,0.0,0.0,0.0,0.0
SaleType_New,16553.924407745446,17597.76537151584,17246.995320094436,16471.454546659716
SaleType_Oth,0.0,0.0,0.0,0.0
SaleType_WD,-2201.8278713926566,-1809.6773766165736,-0.0,-0.0
OverallCond_1,-0.0,-0.0,-0.0,-0.0
OverallCond_2,-0.0,-0.0,-0.0,-0.0
OverallCond_3,-17765.496478172594,-16365.512978533776,-11768.338354014668,-6372.191820566702
OverallCond_4,-11736.581998094045,-11678.641569620713,-11072.132322585281,-9529.324568396474
OverallCond_5,-3160.624774844951,-2661.3529611107188,-1597.568046997064,-481.6871029937329
OverallCond_6,0.0,0.0,0.0,0.0
OverallCond_7,7791.0172029911055,7693.672472439427,6380.069504157651,5652.277943844868
OverallCond_8,6940.972020486599,6074.738286998498,3145.699374955607,1036.5757651668805
OverallCond_9,11505.070317337546,9704.955505776052,2708.1576246640207,0.0
SaleCondition_Abnorml,-9306.387925806825,-8420.377507426021,-9118.736733870031,-8383.020209171818
SaleCondition_AdjLand,0.0,0.0,0.0,0.0
SaleCondition_Alloca,-0.0,-0.0,-0.0,-0.0
SaleCondition_Family,-1384.6672907406275,-0.0,-0.0,-0.0
SaleCondition_Normal,601.9406387870354,1464.6979818773136,0.0,0.0
SaleCondition_Partial,0.0,0.0,0.0,0.0
OverallQual_1,-0.0,-0.0,-0.0,-0.0
OverallQual_2,0.0,0.0,0.0,-0.0
OverallQual_3,-0.0,-0.0,-0.0,-0.0
OverallQual_4,-2346.1344959959233,-2771.5071364722126,-4626.2431609918185,-2540.933459840828
OverallQual_5,-2429.0034450723715,-3114.5247779720194,-5528.449709786602,-3621.1988688194488
OverallQual_6,-3.638511130113925,-905.6592480354956,-4366.738300065011,-3207.3692025965324
OverallQual_7,6498.046391749075,5149.617295725891,0.0,0.0
OverallQual_8,21277.850518727726,19917.29731948964,14166.613550612134,13100.759428130683
OverallQual_9,51842.54414842082,49438.90889063436,39273.5293506373,32731.29414839725
OverallQual_10,82854.79020238305,79790.34972110302,67012.87379182926,55697.59244692423
FullBath_0,0.0,0.0,0.0,-0.0
FullBath_1,-555.5386556077628,-29.61739332576629,-0.0,-0.0
FullBath_2,-0.0,-0.0,-0.0,-0.0
FullBath_3,26685.620723086024,26461.54349617417,23603.485523451676,20138.9986828699
BedroomAbvGr_0,0.0,0.0,0.0,0.0
BedroomAbvGr_1,0.0,0.0,-0.0,-0.0
BedroomAbvGr_2,2577.5449335694343,2775.4680772184065,2533.148671680175,2173.277194129126
BedroomAbvGr_3,-0.0,-0.0,0.0,0.0
BedroomAbvGr_4,0.0,0.0,-0.0,-0.0
