Feature Name,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
FireplaceQu_Ex,-0.0,0.0,0.0
FireplaceQu_Fa,-0.0,-0.0,-0.0
FireplaceQu_Gd,-0.0,0.0,0.0
FireplaceQu_None,1313.2345580983133,0.0,0.0
FireplaceQu_Po,0.0,0.0,0.0
FireplaceQu_TA,-0.0,-0.0,-0.0
GarageType_2Types,-0.0,-0.0,-0.0
GarageType_Attchd,-161.15509678043733,-1416.3474708463839,-1172.4105247989435
GarageType_Basment,-0.0,-0.0,-0.0
GarageType_BuiltIn,3785.5816092136984,1457.8875272141543,281.3160196168726
GarageType_CarPort,-0.0,-0.0,-0.0
GarageType_Detchd,1233.4964719443985,0.0,0.0
GarageType_None,1403.4885149824026,0.0,0.0
GarageYrBlt_1900.0,-0.0,-0.0,-0.0
GarageYrBlt_1906.0,-0.0,0.0,-0.0
GarageYrBlt_1908.0,0.0,0.0,0.0
GarageYrBlt_1910.0,-0.0,-0.0,-0.0
GarageYrBlt_1914.0,-0.0,-0.0,-0.0
GarageYrBlt_1915.0,-0.0,-0.0,-0.0
GarageYrBlt_1916.0,-0.0,-0.0,-0.0
GarageYrBlt_1918.0,-0.0,-0.0,-0.0
GarageYrBlt_1920.0,-0.0,-0.0,-0.0
GarageYrBlt_1921.0,0.0,0.0,0.0
GarageYrBlt_1922.0,0.0,0.0,0.0
GarageYrBlt_1923.0,0.0,0.0,0.0
GarageYrBlt_1924.0,-0.0,-0.0,-0.0
GarageYrBlt_1925.0,-0.0,-0.0,-0.0
GarageYrBlt_1926.0,-0.0,-0.0,0.0
GarageYrBlt_1927.0,0.0,0.0,0.0
GarageYrBlt_1928.0,-0.0,0.0,0.0
GarageYrBlt_1929.0,-0.0,-0.0,-0.0
GarageYrBlt_1930.0,0.0,0.0,0.0
GarageYrBlt_1931.0,0.0,0.0,0.0
GarageYrBlt_1932.0,0.0,0.0,0.0
GarageYrBlt_1933.0,-0.0,0.0,0.0
GarageYrBlt_1934.0,0.0,0.0,0.0
GarageYrBlt_1935.0,0.0,-0.0,-0.0
GarageYrBlt_1936.0,0.0,0.0,0.0
GarageYrBlt_1937.0,-0.0,-0.0,-0.0
GarageYrBlt_1938.0,0.0,0.0,0.0
GarageYrBlt_1939.0,0.0,0.0,0.0
GarageYrBlt_1940.0,0.0,0.0,0.0
GarageYrBlt_1941.0,-0.0,-0.0,-0.0
GarageYrBlt_1942.0,-0.0,-0.0,-0.0
GarageYrBlt_1945.0,0.0,0.0,0.0
GarageYrBlt_1946.0,-0.0,-0.0,-0.0
GarageYrBlt_1947.0,0.0,0.0,-0.0
GarageYrBlt_1948.0,0.0,0.0,0.0
GarageYrBlt_1949.0,-0.0,0.0,0.0
GarageYrBlt_1950.0,0.0,0.0,0.0
GarageYrBlt_1951.0,-0.0,-0.0,-0.0
GarageYrBlt_1952.0,-0.0,-0.0,-0.0
GarageYrBlt_1953.0,-0.0,-0.0,-0.0
GarageYrBlt_1954.0,0.0,0.0,0.0
GarageYrBlt_1955.0,-0.0,-0.0,-0.0
GarageYrBlt_1956.0,0.0,0.0,0.0
GarageYrBlt_1957.0,-0.0,-0.0,-0.0
GarageYrBlt_1958.0,0.0,-0.0,-0.0
GarageYrBlt_1959.0,0.0,0.0,0.0
GarageYrBlt_1960.0,0.0,0.0,0.0
GarageYrBlt_1961.0,-0.0,-0.0,-0.0
GarageYrBlt_1962.0,387.0432957615385,0.0,0.0
GarageYrBlt_1963.0,-0.0,-0.0,-0.0
GarageYrBlt_1964.0,-0.0,-0.0,-0.0
GarageYrBlt_1965.0,-2924.4318389891764,-0.0,-0.0
GarageYrBlt_1966.0,0.0,0.0,0.0
GarageYrBlt_1967.0,0.0,0.0,0.0
GarageYrBlt_1968.0,-0.0,-0.0,-0.0
GarageYrBlt_1969.0,-0.0,-0.0,-0.0
GarageYrBlt_1970.0,-0.0,-0.0,-0.0
GarageYrBlt_1971.0,-0.0,-0.0,-0.0
GarageYrBlt_1972.0,0.0,0.0,0.0
GarageYrBlt_1973.0,-137.01627256323536,-0.0,-0.0
GarageYrBlt_1974.0,0.0,0.0,0.0
GarageYrBlt_1975.0,-0.0,-0.0,-0.0
GarageYrBlt_1976.0,-0.0,-0.0,-0.0
GarageYrBlt_1977.0,-574.2563808089844,-0.0,-0.0
GarageYrBlt_1978.0,-0.0,-0.0,-0.0
GarageYrBlt_1979.0,0.0,0.0,0.0
GarageYrBlt_1980.0,0.0,0.0,0.0
GarageYrBlt_1981.0,-0.0,-0.0,-0.0
GarageYrBlt_1982.0,0.0,0.0,0.0
GarageYrBlt_1983.0,0.0,0.0,0.0
GarageYrBlt_1984.0,-0.0,-0.0,-0.0
GarageYrBlt_1985.0,-0.0,-0.0,-0.0
GarageYrBlt_1986.0,-0.0,-0.0,-0.0
GarageYrBlt_1987.0,0.0,0.0,0.0
GarageYrBlt_1988.0,-0.0,-0.0,-0.0
GarageYrBlt_1989.0,0.0,0.0,0.0
GarageYrBlt_1990.0,-0.0,-0.0,-0.0
GarageYrBlt_1991.0,0.0,0.0,0.0
GarageYrBlt_1992.0,-0.0,-0.0,-0.0
GarageYrBlt_1993.0,-0.0,0.0,0.0
GarageYrBlt_1994.0,0.0,0.0,0.0
