,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,ManufacturerAndVehicleType
13617,16093,2009-10,Personnel Vehicle,Mercedes Benz,100,2009,Personnel Vehicle Mercedes Benz
13618,16094,2006-07,Heavy Goods Vehicle,Mercedes Benz,60,2006,Heavy Goods Vehicle Mercedes Benz
13619,16095,2006-07,Light Goods Vehicle,Mercedes Benz,70,2006,Light Goods Vehicle Mercedes Benz
13620,16096,2006-07,Personnel Vehicle,Mercedes Benz,65,2006,Personnel Vehicle Mercedes Benz
13621,16097,2003-04,Personnel Vehicle,Mercedes Benz,100,2003,Personnel Vehicle Mercedes Benz
13622,16098,2006-07,Personnel Vehicle,Mercedes Benz,80,2006,Personnel Vehicle Mercedes Benz
13623,16099,2006-07,Light Goods Vehicle,Volvo,30,2006,Light Goods Vehicle Volvo
13624,16100,2005-06,Personnel Vehicle,Volvo,70,2005,Personnel Vehicle Volvo
13625,16100,2011-12,Personnel Vehicle,Volvo,70,2011,Personnel Vehicle Volvo
13626,16101,2006-07,Personnel Vehicle,Volvo,75,2006,Personnel Vehicle Volvo
13627,16102,2005-06,Light Goods Vehicle,Volvo,20,2005,Light Goods Vehicle Volvo
13628,16103,2003-04,Personnel Vehicle,Volvo,70,2003,Personnel Vehicle Volvo
13629,16103,2010-11,Personnel Vehicle,Volvo,60,2010,Personnel Vehicle Volvo
13630,16105,2003-04,Heavy Goods Vehicle,Volvo,50,2003,Heavy Goods Vehicle Volvo
13631,16105,2009-10,Heavy Goods Vehicle,Volvo,40,2009,Heavy Goods Vehicle Volvo
13632,16106,2006-07,Personnel Vehicle,Volvo,80,2006,Personnel Vehicle Volvo
13633,16107,2009-10,Light Goods Vehicle,Fiat,80,2009,Light Goods Vehicle Fiat
13634,16109,2006-07,Heavy Goods Vehicle,Mercedes Benz,30,2006,Heavy Goods Vehicle Mercedes Benz
13635,16110,2001-02,Personnel Vehicle,Mercedes Benz,75,2001,Personnel Vehicle Mercedes Benz
13636,16110,2007-08,Personnel Vehicle,Mercedes Benz,70,2007,Personnel Vehicle Mercedes Benz
13637,16110,2011-12,Personnel Vehicle,Mercedes Benz,80,2011,Personnel Vehicle Mercedes Benz
13638,16111,2002-03,Light Goods Vehicle,Mercedes Benz,20,2002,Light Goods Vehicle Mercedes Benz
13639,16111,2008-09,Light Goods Vehicle,Mercedes Benz,0,2008,Light Goods Vehicle Mercedes Benz
13640,16111,2011-12,Light Goods Vehicle,Mercedes Benz,0,2011,Light Goods Vehicle Mercedes Benz
13641,16112,2004-05,Personnel Vehicle,Mercedes Benz,40,2004,Personnel Vehicle Mercedes Benz
13642,16112,2010-11,Personnel Vehicle,Mercedes Benz,40,2010,Personnel Vehicle Mercedes Benz
13643,16113,2006-07,Heavy Goods Vehicle,Mercedes Benz,10,2006,Heavy Goods Vehicle Mercedes Benz
13644,16114,2004-05,Personnel Vehicle,Mercedes Benz,80,2004,Personnel Vehicle Mercedes Benz
13645,16115,2004-05,Heavy Goods Vehicle,Mercedes Benz,5,2004,Heavy Goods Vehicle Mercedes Benz
13646,16115,2010-11,Heavy Goods Vehicle,Mercedes Benz,5,2010,Heavy Goods Vehicle Mercedes Benz
13647,16116,2006-07,Light Goods Vehicle,Fiat,80,2006,Light Goods Vehicle Fiat
13648,16117,2006-07,Personnel Vehicle,Volvo,60,2006,Personnel Vehicle Volvo
13649,16118,2006-07,Light Goods Vehicle,Volvo,40,2006,Light Goods Vehicle Volvo
13650,16120,2004-05,Heavy Goods Vehicle,Fiat,50,2004,Heavy Goods Vehicle Fiat
13651,16120,2010-11,Heavy Goods Vehicle,Fiat,15,2010,Heavy Goods Vehicle Fiat
13652,16121,2005-06,Light Goods Vehicle,Volvo,5,2005,Light Goods Vehicle Volvo
13653,16121,2007-08,Light Goods Vehicle,Volvo,20,2007,Light Goods Vehicle Volvo
13654,16122,2003-04,Personnel Vehicle,Volvo,60,2003,Personnel Vehicle Volvo
13655,16122,2009-10,Personnel Vehicle,Volvo,70,2009,Personnel Vehicle Volvo
13656,16123,2001-02,Light Goods Vehicle,Fiat,20,2001,Light Goods Vehicle Fiat
13657,16123,2011-12,Light Goods Vehicle,Fiat,20,2011,Light Goods Vehicle Fiat
13658,16124,2006-07,Personnel Vehicle,Volvo,80,2006,Personnel Vehicle Volvo
13659,16125,2002-03,Personnel Vehicle,Volvo,90,2002,Personnel Vehicle Volvo
13660,16126,2003-04,Light Goods Vehicle,Fiat,50,2003,Light Goods Vehicle Fiat
13661,16126,2009-10,Light Goods Vehicle,Fiat,50,2009,Light Goods Vehicle Fiat
13662,16127,2002-03,Personnel Vehicle,Mercedes Benz,10,2002,Personnel Vehicle Mercedes Benz
13663,16127,2008-09,Personnel Vehicle,Mercedes Benz,10,2008,Personnel Vehicle Mercedes Benz
13664,16128,2003-04,Heavy Goods Vehicle,Mercedes Benz,50,2003,Heavy Goods Vehicle Mercedes Benz
13665,16128,2009-10,Heavy Goods Vehicle,Mercedes Benz,15,2009,Heavy Goods Vehicle Mercedes Benz
13666,16129,2006-07,Light Goods Vehicle,Mercedes Benz,60,2006,Light Goods Vehicle Mercedes Benz
13667,16130,2008-09,Heavy Goods Vehicle,Volvo,100,2008,Heavy Goods Vehicle Volvo
13668,16131,2005-06,Light Goods Vehicle,Fiat,65,2005,Light Goods Vehicle Fiat
13669,16134,2002-03,Heavy Goods Vehicle,Mercedes Benz,0,2002,Heavy Goods Vehicle Mercedes Benz
13670,16134,2009-10,Heavy Goods Vehicle,Mercedes Benz,10,2009,Heavy Goods Vehicle Mercedes Benz
13671,16135,2002-03,Light Goods Vehicle,Mercedes Benz,60,2002,Light Goods Vehicle Mercedes Benz
13672,16135,2007-08,Light Goods Vehicle,Mercedes Benz,70,2007,Light Goods Vehicle Mercedes Benz
13673,16136,2001-02,Light Goods Vehicle,Volvo,35,2001,Light Goods Vehicle Volvo
13674,16136,2007-08,Light Goods Vehicle,Volvo,20,2007,Light Goods Vehicle Volvo
13675,16140,2004-05,Personnel Vehicle,Fiat,70,2004,Personnel Vehicle Fiat
13676,16140,2010-11,Personnel Vehicle,Fiat,70,2010,Personnel Vehicle Fiat
13677,16141,2006-07,Light Goods Vehicle,Volvo,40,2006,Light Goods Vehicle Volvo
13678,16143,2009-10,Light Goods Vehicle,Volvo,35,2009,Light Goods Vehicle Volvo
13679,16144,2008-09,Heavy Goods Vehicle,Volvo,100,2008,Heavy Goods Vehicle Volvo
13680,16145,2005-06,Light Goods Vehicle,Fiat,80,2005,Light Goods Vehicle Fiat
13681,16147,2003-04,Light Goods Vehicle,Mercedes Benz,50,2003,Light Goods Vehicle Mercedes Benz
13682,16147,2009-10,Light Goods Vehicle,Mercedes Benz,50,2009,Light Goods Vehicle Mercedes Benz
13683,16148,2006-07,Personnel Vehicle,Mercedes Benz,75,2006,Personnel Vehicle Mercedes Benz
13684,16150,2003-04,Light Goods Vehicle,Mercedes Benz,60,2003,Light Goods Vehicle Mercedes Benz
13685,16150,2011-12,Light Goods Vehicle,Mercedes Benz,60,2011,Light Goods Vehicle Mercedes Benz
