,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,Month
19403,21008,2001-02,Heavy Goods Vehicle,Volvo,30,2001,2
19404,21008,2008-09,Heavy Goods Vehicle,Volvo,50,2008,9
19405,21009,2002-03,Personnel Vehicle,Mercedes Benz,80,2002,3
19406,21009,2008-09,Personnel Vehicle,Mercedes Benz,85,2008,9
19407,21009,2011-12,Personnel Vehicle,Mercedes Benz,85,2011,12
19408,21010,2003-04,Heavy Goods Vehicle,Mercedes Benz,30,2003,4
19409,21010,2009-10,Heavy Goods Vehicle,Mercedes Benz,0,2009,10
19410,21011,2003-04,Heavy Goods Vehicle,Mercedes Benz,60,2003,4
19411,21012,2001-02,Heavy Goods Vehicle,Mercedes Benz,60,2001,2
19412,21012,2008-09,Heavy Goods Vehicle,Mercedes Benz,60,2008,9
19413,21013,2002-03,Light Goods Vehicle,Mercedes Benz,20,2002,3
19414,21013,2009-10,Light Goods Vehicle,Mercedes Benz,50,2009,10
19415,21014,2003-04,Light Goods Vehicle,Mercedes Benz,35,2003,4
19416,21016,2002-03,Heavy Goods Vehicle,Mercedes Benz,65,2002,3
19417,21016,2009-10,Heavy Goods Vehicle,Mercedes Benz,30,2009,10
19418,21017,2006-07,Light Goods Vehicle,Mercedes Benz,75,2006,7
19419,21018,2008-09,Light Goods Vehicle,Mercedes Benz,20,2008,9
19420,21019,2002-03,Light Goods Vehicle,Mercedes Benz,68,2002,3
19421,21019,2008-09,Light Goods Vehicle,Mercedes Benz,55,2008,9
19422,21020,2003-04,Heavy Goods Vehicle,Mercedes Benz,60,2003,4
19423,21020,2009-10,Heavy Goods Vehicle,Mercedes Benz,60,2009,10
19424,21021,2003-04,Light Goods Vehicle,Mercedes Benz,35,2003,4
19425,21022,2002-03,Heavy Goods Vehicle,Mercedes Benz,70,2002,3
19426,21022,2008-09,Heavy Goods Vehicle,Mercedes Benz,65,2008,9
19427,21023,2006-07,Personnel Vehicle,Mercedes Benz,75,2006,7
19428,21024,2010-11,Heavy Goods Vehicle,Volvo,10,2010,11
19429,21025,2004-05,Light Goods Vehicle,Volvo,30,2004,5
19430,21026,2002-03,Heavy Goods Vehicle,Volvo,65,2002,3
19431,21026,2011-12,Heavy Goods Vehicle,Volvo,75,2011,12
19432,21027,2001-02,Personnel Vehicle,Fiat,80,2001,2
19433,21027,2007-08,Personnel Vehicle,Fiat,10,2007,8
19434,21028,2002-03,Heavy Goods Vehicle,Volvo,5,2002,3
19435,21028,2006-07,Heavy Goods Vehicle,Volvo,15,2006,7
19436,21028,2007-08,Heavy Goods Vehicle,Volvo,30,2007,8
19437,21029,2005-06,Heavy Goods Vehicle,Volvo,30,2005,6
19438,21030,2008-09,Light Goods Vehicle,Volvo,35,2008,9
19439,21031,2008-09,Heavy Goods Vehicle,Volvo,30,2008,9
19440,21032,2005-06,Heavy Goods Vehicle,Volvo,70,2005,6
19441,21033,2006-07,Personnel Vehicle,Fiat,80,2006,7
19442,21034,2004-05,Heavy Goods Vehicle,Volvo,100,2004,5
19443,21035,2008-09,Personnel Vehicle,Mercedes Benz,80,2008,9
19444,21036,2011-12,Light Goods Vehicle,Mercedes Benz,40,2011,12
19445,21037,2009-10,Heavy Goods Vehicle,Mercedes Benz,30,2009,10
19446,21038,2004-05,Light Goods Vehicle,Mercedes Benz,65,2004,5
19447,21038,2010-11,Light Goods Vehicle,Mercedes Benz,65,2010,11
19448,21039,2006-07,Personnel Vehicle,Mercedes Benz,60,2006,7
19449,21040,2005-06,Heavy Goods Vehicle,Mercedes Benz,30,2005,6
19450,21041,2006-07,Heavy Goods Vehicle,Mercedes Benz,10,2006,7
19451,21042,2001-02,Light Goods Vehicle,Mercedes Benz,70,2001,2
19452,21042,2008-09,Light Goods Vehicle,Mercedes Benz,55,2008,9
19453,21043,2001-02,Personnel Vehicle,Mercedes Benz,90,2001,2
19454,21043,2008-09,Personnel Vehicle,Mercedes Benz,85,2008,9
19455,21043,2011-12,Personnel Vehicle,Mercedes Benz,80,2011,12
19456,21044,2006-07,Personnel Vehicle,Mercedes Benz,75,2006,7
19457,21045,2005-06,Personnel Vehicle,Volvo,70,2005,6
19458,21045,2011-12,Personnel Vehicle,Volvo,50,2011,12
19459,21046,2005-06,Heavy Goods Vehicle,Volvo,50,2005,6
19460,21046,2011-12,Heavy Goods Vehicle,Volvo,30,2011,12
19461,21048,2002-03,Light Goods Vehicle,Volvo,20,2002,3
19462,21048,2008-09,Light Goods Vehicle,Volvo,20,2008,9
19463,21050,2000-01,Heavy Goods Vehicle,Fiat,5,2000,1
19464,21050,2004-05,Heavy Goods Vehicle,Fiat,5,2004,5
19465,21050,2010-11,Heavy Goods Vehicle,Fiat,30,2010,11
19466,21051,2001-02,Light Goods Vehicle,Volvo,50,2001,2
19467,21051,2008-09,Light Goods Vehicle,Volvo,70,2008,9
19468,21052,2002-03,Heavy Goods Vehicle,Volvo,65,2002,3
19469,21052,2008-09,Heavy Goods Vehicle,Volvo,65,2008,9
19470,21055,2005-06,Personnel Vehicle,Volvo,60,2005,6
19471,21056,2005-06,Light Goods Vehicle,Fiat,10,2005,6
19472,21057,2003-04,Personnel Vehicle,Mercedes Benz,70,2003,4
19473,21057,2009-10,Personnel Vehicle,Mercedes Benz,70,2009,10
19474,21058,2006-07,Heavy Goods Vehicle,Mercedes Benz,65,2006,7
19475,21059,2004-05,Personnel Vehicle,Mercedes Benz,60,2004,5
19476,21060,2002-03,Heavy Goods Vehicle,Mercedes Benz,80,2002,3
19477,21060,2007-08,Heavy Goods Vehicle,Mercedes Benz,80,2007,8
19478,21061,2008-09,Heavy Goods Vehicle,Mercedes Benz,65,2008,9
19479,21062,2005-06,Light Goods Vehicle,Mercedes Benz,35,2005,6
19480,21062,2011-12,Light Goods Vehicle,Mercedes Benz,50,2011,12
19481,21063,2003-04,Heavy Goods Vehicle,Mercedes Benz,100,2003,4
19482,21065,2006-07,Heavy Goods Vehicle,Mercedes Benz,10,2006,7
19483,21066,2011-12,Light Goods Vehicle,Mercedes Benz,55,2011,12
19484,21067,2008-09,Light Goods Vehicle,Mercedes Benz,70,2008,9
19485,21068,2003-04,Light Goods Vehicle,Mercedes Benz,60,2003,4
19486,21068,2009-10,Light Goods Vehicle,Mercedes Benz,60,2009,10
